STATE,CNTY,NAME,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
21,101,Henderson,3.5,4.7,5.3,5.5,4.6,5.4,5.1,5,6.1,10.6,10,8.5,7.4,7.3
21,103,Henry,3.2,4.3,4.4,5.3,4.8,5.7,5.7,5.3,6.2,10.5,10.2,9.2,8.2,8.1
21,105,Hickman,4.7,5.8,6.7,8.8,9,7.8,6.6,6.8,7,8.8,9,9.6,8.7,8
21,107,Hopkins,5.4,5.7,5.6,6.6,5.4,5.9,5.8,5.9,7.3,9.2,9.1,7.9,7.2,7.5
21,109,Jackson,5.6,8.1,7.7,7.6,6.4,7.5,9.9,13.6,11.3,16.4,16.7,16.1,14.2,14.6
21,111,Jefferson,3.7,4.7,5.6,6.1,5.3,5.9,5.7,5.3,6.3,10.1,10.4,9.9,8.4,7.8
21,113,Jessamine,2.9,3.8,4.2,4.6,4.3,4.7,4.7,4.4,5.5,9.1,8.9,8.2,7.1,6.9
21,115,Johnson,5.7,6.1,6.2,6.8,6.5,6.7,6.5,6.1,6.9,10.3,11.4,9.9,9.3,10
21,117,Kenton,3.2,4.2,4.3,4.8,4.6,5,5,4.8,5.9,9.9,10.2,8.8,7.3,6.9
21,119,Knott,7.3,6.8,6.8,6.5,6.2,6.9,7,6.9,6.8,10.6,12.9,11,13.4,15.7
21,121,Knox,5.7,6.4,7,7.6,6.5,6.4,6.8,6.7,7.6,11.6,11.4,11.5,11.2,11.7
21,123,Larue,4.4,4.9,5.4,5.1,5,6.3,5.5,5.1,6.5,11.8,9.7,8.5,7.4,7.2
21,125,Laurel,4.2,5,5.9,6.6,5.7,5.6,5.8,5.3,6.6,10.2,10.8,10.6,9.4,8.9
21,127,Lawrence,6.9,8.2,7.9,8.8,7.9,8,8.3,7.8,8.6,11.8,12.5,10.8,9.7,10.6
21,129,Lee,5.9,7.1,7.5,8.9,7.6,7.6,7.3,6.6,7.4,11.7,12.5,12.4,12.4,12.3
21,131,Leslie,5.8,6.1,8.5,9.6,8.2,8.1,8.7,8.7,8.3,12.4,12.6,12.3,13.8,17.3
21,133,Letcher,7.8,6.2,8.3,10.1,7.1,7.2,7.5,7.4,6.9,10.7,11.4,10.2,13.5,16.8
21,135,Lewis,8.6,7.9,7.7,7.8,8.2,9.4,8.1,7.6,9.5,15.2,14.5,13.7,11.6,11.9
21,137,Lincoln,4.1,6,6.9,7.8,7.2,6.9,7.1,6.5,7.5,12.6,12.8,12.3,10.3,10.8
21,139,Livingston,5.6,6.4,6.5,6.9,6.2,5.8,6.1,5.4,6.1,9.9,10.4,8.9,8.1,8.5
21,141,Logan,3.6,6.6,6.6,6.2,5.7,6.4,5.8,5.3,6.3,10.9,9.8,8.8,7.4,6.9
21,143,Lyon,5.6,6.1,6.7,8.4,6.9,7.3,6.7,6.4,7.6,12.3,11.1,9.8,8.7,7.8
21,145,McCracken,4.6,5.2,6,6.3,5.4,5.8,5.3,4.9,5.8,8.8,8.7,8.2,7.7,7.8
21,147,McCreary,6.6,9.5,9.5,9.6,7.8,8.7,10.1,9,9.6,14,14.3,14.4,13.1,13.1
21,149,McLean,5,5.8,6.4,7.5,6.5,7.2,7.5,5.8,7.1,10.5,10.2,9.1,8,7.9
21,151,Madison,3.5,4.7,5.2,5.2,5,4.9,4.8,4.7,5.5,9.1,8.3,7.6,6.6,6.6
