name,postal,beef_2000,beef_2001,beef_2002,beef_2003,beef_2004,beef_2005,beef_2006,beef_2007,beef_2008,beef_2009,beef_2010,beef_2011,beef_2012,beef_2013,pork_2000,pork_2001,pork_2002,pork_2003,pork_2004,pork_2005,pork_2006,pork_2007,pork_2008,pork_2009,pork_2010,pork_2011,pork_2012,pork_2013,poultry_2000,poultry_2001,poultry_2002,poultry_2003,poultry_2004,poultry_2005,poultry_2006,poultry_2007,poultry_2008,poultry_2009,poultry_2010,poultry_2011,poultry_2012,poultry_2013
Nebraska,NE,0.196402942,0.176212366,0.171147137,0.180611511,0.04496058,0.074168591,0.092361756,0.092116082,0.086055982,0.090732794,0.101366518,0.11000765,0.126014414,0.142984457,0.035028705,0.037064646,0.038005336,0.032877698,0.050458129,0.054441609,0.04889935,0.03879081,0.039950615,0.039280409,0.038804791,0.037848059,0.037381904,0.033321753,0.005516685,0.005425105,0.00447363,0.005863309,0.006392499,0.005225422,0.005005967,0.006868198,0.006302173,0.005363921,0.004363519,0.004532529,0.005253755,0.005090404
Nevada,NV,0.2,0.207692308,0.1875,0.234138973,0.058252427,0.084045584,0.095953757,0.106060606,0.098307816,0.128180961,0.144046628,0.1373661,0.14446418,0.147362697,0.002684564,0.001282051,0.0015625,0.001510574,0.003236246,0.002849003,0.002312139,0.003030303,0.001611604,0.002827521,0.002497918,0.001260239,0.001776199,0.002175095,0,0,0,0,0,0.002849003,0.002312139,0.003030303,0.000805802,0.000942507,0,0,0,0
New Hampshire,NH,0.019607843,0.014705882,0.012755102,0.013888889,0.002207506,0.00443459,0.007889546,0.004878049,0.003512881,0.006684492,0.007623888,0.007202881,0.011933174,0.009493671,0.00245098,0.00245098,0.00255102,0.002314815,0.002207506,0.002217295,0.001972387,0.001626016,0.00117096,0.002673797,0.001270648,0.00240096,0.002386635,0.002109705,0.014705882,0.017156863,0.015306122,0.018518519,0.01986755,0.031042129,0.031558185,0.030894309,0.012880562,0.010695187,0.007623888,0.009603842,0.011933174,0.010548523
New Jersey,NJ,0.002378525,0.002707276,0.00168691,0.001926164,0.000318471,0.000589275,0.001013428,0.000651749,0.000616776,0.00088574,0.001246106,0.001457992,0.001206273,0.001409774,0.000339789,0.000338409,0.000337382,0.000321027,0.000636943,0.000589275,0.000506714,0.000434499,0.000616776,0.00044287,0.000623053,0.000728996,0.000689299,0.000626566,0.009514101,0.009475465,0.008097166,0.009951846,0.008917197,0.007660577,0.006840638,0.010210732,0.013157895,0.009743136,0.006853583,0.008383452,0.008960882,0.008145363
New Mexico,NM,0.25955414,0.209194693,0.178472222,0.206863374,0.051347882,0.075960171,0.099559243,0.102973902,0.115638963,0.132749038,0.125131599,0.149642492,0.167253273,0.172217407,0.000318471,0.000308547,0,0.000320718,0.000320924,0.000284495,0.000259269,0,0.000178731,0.000213767,0,0.000127681,0.000140786,0.000123808,0.007324841,0.007713669,0.006944444,0.005452213,0.005455712,0.00398293,0.003370495,0.003641513,0.004110813,0.003634032,0.00105279,0.000383044,0.000563142,0.000495233
New York,NY,0.027797965,0.022638146,0.016387473,0.01928839,0.003770998,0.007610591,0.00845493,0.005907626,0.007164137,0.007504194,0.010452705,0.014290312,0.016685137,0.014651811,0.001271802,0.002495544,0.00182083,0.002621723,0.003942407,0.003646742,0.003136506,0.002577873,0.001986097,0.002560254,0.001766654,0.003733505,0.003263145,0.002562674,0.017805233,0.018003565,0.015477058,0.016479401,0.014912581,0.014745521,0.013636983,0.015574651,0.013831749,0.012448133,0.00986382,0.011393627,0.012498461,0.01097493
North Carolina,NC,0.013743631,0.011725704,0.013789057,0.012495824,0.002450844,0.003977499,0.004851077,0.005284325,0.004442334,0.005601098,0.00649921,0.007163282,0.006836935,0.007747976,0.128385626,0.132666216,0.161728033,0.152689609,0.179969921,0.210239218,0.202493349,0.190890385,0.220590729,0.199896139,0.210082558,0.202767107,0.192927308,0.198783998,0.148833467,0.161520044,0.149919319,0.142666221,0.135074918,0.187681118,0.161650409,0.202581369,0.172742379,0.189250343,0.176321799,0.172843072,0.180851343,0.188022921
North Dakota,ND,0.038475871,0.042112471,0.039291981,0.03986711,0.008351561,0.014846871,0.018137553,0.014550123,0.012855398,0.015927232,0.016833261,0.020746229,0.016703659,0.023050035,0.005123905,0.005135667,0.003891051,0.002915452,0.004374627,0.005525965,0.00499087,0.003031276,0.003304087,0.004752181,0.004230045,0.004260386,0.003523786,0.003690939,0.001770076,0.001626295,0.001373312,0.001017018,0.000795387,0.000932091,0.001217285,0.0010342,0.000138827,0.000148506,0.000115892,0.00013231,0.000114409,0.000684413
Ohio,OH,0.017957861,0.016223915,0.016674607,0.017127719,0.002812862,0.006177516,0.008584558,0.007468847,0.007117977,0.008022175,0.009308211,0.009128966,0.010712289,0.010060316,0.024570502,0.027246269,0.027972504,0.025383525,0.034250731,0.041552538,0.040296925,0.03388498,0.039315463,0.03968694,0.043447694,0.050158874,0.045823549,0.044133379,0.033517018,0.033067063,0.030831008,0.032468733,0.026032762,0.028031937,0.026864616,0.035142891,0.037467818,0.033360509,0.029077615,0.03275836,0.032718327,0.032411517
Oklahoma,OK,0.249969321,0.198328267,0.191314837,0.215497919,0.04231649,0.074403,0.125096186,0.106803219,0.089196051,0.140731771,0.146189933,0.199692417,0.155457907,0.153953201,0.066511228,0.080927052,0.075392039,0.070231615,0.099500936,0.111703177,0.126085523,0.101682516,0.095119887,0.128708589,0.117852162,0.156749083,0.140882053,0.132512112,0.0552215,0.06902229,0.048974668,0.047070125,0.056560616,0.067199526,0.065735957,0.062667642,0.05325811,0.081999827,0.071383289,0.077546433,0.070896522,0.068961963
